code,designation,prix,type_article,nature,classe,ville
4E _2808,Informatique : INFORMATIQUE 4EME (ECLOSION),4000,manuel,Homologué,4e ESP,
4E _4107,LATTACHEMENT AU SOL NATAL (IFRIKIYA),1900,manuel,Homologué,4e ESP,
4E _6196,Langue Française : Français 4ème (AFRICA EDUCATION),5000,manuel,Homologué,4e ESP,
4E _4046,Latin : LATINISTAS 4/3 EME (ECLOSION),5000,manuel,Homologué,4e ESP,
4E _7683,Mathématiques : MATHEMATIQUES 4EME (belles Lettres),4500,manuel,Homologué,4e ESP,
4E _4888,"Physique, Chimie, Technologie 4EME (NMI)",4200,manuel,Homologué,4e ESP,
4E _4136,SVTEEHB : SVTEHB 4EME (MONDOUX),4000,manuel,Homologué,4e ESP,
4E _767,"Trois Prétendants, Un Mari (CLE)",2500,manuel,Homologué,4e ESP,
4E _3207,Anglais : LEVEIL EN ANGLAIS 4 EME (NMI),4000,manuel,Homologué,4e ITALIEN,
4E _5647,CŒUR DU SAHEL (PROXIMITE),2500,manuel,Homologué,4e ITALIEN,
4E _4476,Education À La Citoyenneté 4ème Et 3ème /. (mondoux),3500,manuel,Homologué,4e ITALIEN,
4E _1027,Grec : Je Découvre La Langue Grec 4/5 EME(ECLOSION),5000,manuel,Homologué,4e ITALIEN,
4E _307,Géographie : Planète Cameroun 4ème (EDICEF ERA),4300,manuel,Homologué,4e ITALIEN,
4E _434,Histoire : Planète Cameroun. Histoire 4ème (HATIER ERA),3700,manuel,Homologué,4e ITALIEN,
4E _2808,Informatique : INFORMATIQUE 4EME (ECLOSION),4000,manuel,Homologué,4e ITALIEN,
4E _4297,Italien : DIDACTICA DEL ITALIANO (L’HARMATTAN ),3000,manuel,Homologué,4e ITALIEN,
4E _4107,LATTACHEMENT AU SOL NATAL (IFRIKIYA),1900,manuel,Homologué,4e ITALIEN,
4E _6196,Langue Française : Français 4ème (AFRICA EDUCATION),5000,manuel,Homologué,4e ITALIEN,
4E _4046,Latin : LATINISTAS 4/3 EME (ECLOSION),5000,manuel,Homologué,4e ITALIEN,
4E _7683,Mathématiques : MATHEMATIQUES 4EME (belles Lettres),4500,manuel,Homologué,4e ITALIEN,
4E _4888,"Physique, Chimie, Technologie 4EME (NMI)",4200,manuel,Homologué,4e ITALIEN,
4E _4136,SVTEEHB : SVTEHB 4EME (MONDOUX),4000,manuel,Homologué,4e ITALIEN,
4E _767,"Trois Prétendants, Un Mari (CLE)",2500,manuel,Homologué,4e ITALIEN,
3E _1586,ALLEMAND : ERWACHEN / ALLEMAND 3EME (NMI),4500,manuel,Homologué,3e ALL,
3E _1529,Anglais : L’EVEIL EN ANGLAIS (NMI),4500,manuel,Homologué,3e ALL,
3E _8941,Education À La Citoyenneté 4ème Et 3ème (mondoux),3500,manuel,Homologué,3e ALL,
3E _8177,Grec : Je Découvre La Langue Grecque 4/5EME(ECLOSION),5000,manuel,Homologué,3e ALL,
3E _2314,Géographie : Planète Cameroun 3eme(edicef),4300,manuel,Homologué,3e ALL,
3E _9426,Histoire : Planète Cameroun 3EME (hatier),3700,manuel,Homologué,3e ALL,
3E _5419,Informatique : INFORMATIQUE 3ème (ECLOSION),4000,manuel,Homologué,3e ALL,
3E _7358,LA MARMITE DE KOKA MBALA (CLE),1700,manuel,Homologué,3e ALL,
3E _4976,Langue Française : Français 3ème (AFRICA EDUCATION),5000,manuel,Homologué,3e ALL,
3E _4046,Latin : LATINISTAS 4/3 EME (ECLOSION),5000,manuel,Homologué,3e ALL,
3E _299,Mathématiques : MATHEMATIQUES 3EME (D AND L),4500,manuel,Homologué,3e ALL,
3E _7185,Petites Gouttes De Chant Pour Créer L’homme (CLE),2000,manuel,Homologué,3e ALL,
3E _1117,"Physique, Chimie, Technologie 3EME (WISDOM)",4500,manuel,Homologué,3e ALL,
3E _7726,Sciences: SVTEHB 3EME (AFRICA EDUCATION),5000,manuel,Homologué,3e ALL,
3E _5900,VILLE CRUELLE (PRESENCE AFRIC),2500,manuel,Homologué,3e ALL,
3E _1529,Anglais : L’EVEIL EN ANGLAIS (NMI),4500,manuel,Homologué,3e CHINOIS,
3E _8881,Chinois : JAIME LE CHINOIS 3EME (AFRICA EDUCATION),4000,manuel,Homologué,3e CHINOIS,
3E _8941,Education À La Citoyenneté 4ème Et 3ème (mondoux),3500,manuel,Homologué,3e CHINOIS,
3E _8177,Grec : Je Découvre La Langue Grecque 4/5EME(ECLOSION),5000,manuel,Homologué,3e CHINOIS,
3E _2314,Géographie : Planète Cameroun 3eme(edicef),4300,manuel,Homologué,3e CHINOIS,
