CLASSE;LIVRES;PRIX
3e ITALIEN;Sciences: SVTEHB 3EME (AFRICA EDUCATION);5 000
3e ITALIEN;Physique, Chimie, Technologie 3EME (WISDOM);4 500
3e ITALIEN;Informatique : INFORMATIQUE 3ème (ECLOSION);4 000
2de A4 & SES (ALL);Philosophie : L’Excellence en Philosophie (NMI);4 000
2de A4 & SES (ALL);Langue Française : Langue et Méthode au 2nd cycle  (Afric’Educ);5 000
2de A4 & SES (ALL);Les Tribus de Capitoline (CLE);3 000
2de A4 & SES (ALL);Poèmes sauvages éclairés au feu de brousse (les classiques iv);1 700
2de A4 & SES (ALL);TARTUFFE (BELLES LETTRES);2 000
2de A4 & SES (ALL);Anglais : INTERACTIONS IN ENGLISH (CAMBRIDGE);5 000
2de A4 & SES (ALL);Education à la citoyenneté : EDUCATION A LA CITOYENNETE ET A LA MORALE (MONDOUX);3 000
2de A4 & SES (ALL);Allemand : IHR und WIR Plus 3 (HUEBER);6 000
2de A4 & SES (ALL);Mathématiques : L’Excellence en Mathématiques (NMI);4 500
2de A4 & SES (ALL);Sciences : Sciences (CLE);3 500
2de A4 & SES (ALL);Informatique : L’Excellence en Informatique (NMI);3 100
2de A4 & SES (ALL);HISTOIRE : le monde. De la préhistoire au moyen-âge (CLE);4 000
2de A4 & SES (ESP);Philosophie : L’Excellence en Philosophie (NMI);4 000
2de A4 & SES (ESP);Langue Française : Langue et Méthode au 2nd cycle  (Afric’Educ);5000
2de A4 & SES (ESP);Les Tribus de Capitoline (CLE);3 000
2de A4 & SES (ESP);Poèmes sauvages éclairés au feu de brousse (les classiques iv);1 700
2de A4 & SES (ESP);TARTUFFE (BELLES LETTRES;2 000
2de A4 & SES (ESP);Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE;5 000
2de A4 & SES (ESP);Education à la citoyenneté : EDUCATION A LA CITOYENNETE ET A LA MORALE (MONDOUX);3 000
2de A4 & SES (ESP);Espagnole : NUEVA DIDACTICA DEL ESPANOL III (HABIBI);4 900
2de A4 & SES (ESP);Mathématiques : L’Excellence en Mathématiques (NMI);4 500
2de A4 & SES (ESP);Sciences : Sciences (CLE);3 500
2de A4 & SES (ESP);Informatique : L’Excellence en Informatique (NMI);3 100
2de A4 & SES (ESP);HISTOIRE : le monde. De la préhistoire au moyen-âge (CLE);4 000
2de A4 & SES (CHINOIS);Philosophie : L’Excellence en Philosophie (NMI);4 000
2de A4 & SES (CHINOIS);Langue Française : Langue et Méthode au 2nd cycle  (Afric’Educ);5 000
2de A4 & SES (CHINOIS);Les Tribus de Capitoline (CLE);3 000
2de A4 & SES (CHINOIS);Poèmes sauvages éclairés au feu de brousse (les classiques iv);1 700
2de A4 & SES (CHINOIS);TARTUFFE (BELLES LETTRES);2 000
2de A4 & SES (CHINOIS);Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE);5 000
2de A4 & SES (CHINOIS);Education à la citoyenneté : EDUCATION A LA CITOYENNETE ET A LA MORALE (MONDOUX);3 000
2de A4 & SES (CHINOIS);Chinois : BONJOUR CAMEROUN 3 (D/L);3 500
2de A4 & SES (CHINOIS);Mathématiques : L’Excellence en Mathématiques (NMI);4 500
2de A4 & SES (CHINOIS);Sciences : Sciences (CLE);3 500
2de A4 & SES (CHINOIS);Informatique : L’Excellence en Informatique (NMI);3 100
2de A4 & SES (CHINOIS);HISTOIRE : le monde. De la préhistoire au moyen-âge (CLE);4 000
2de C & E;Philosophie : L’Excellence en Philosophie (NMI);4 000
2de C & E;Langue Française : Langue et Méthode au 2nd cycle  (Afric’Educ);5 000
2de C & E;Les Tribus de Capitoline (CLE);3 000
2de C & E;Poèmes sauvages éclairés au feu de brousse (les classiques iv);1 700
2de C & E;TARTUFFE (BELLES LETTRES);2 000
2de C & E;Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE);5 000
2de C & E;Education à la citoyenneté : EDUCATION A LA CITOYENNETE ET A LA MORALE (MONDOUX);3 000
2de C & E;Mathématiques : L’EXCELLENCE EN MATHEMATIQUES  (NMI);5 500
2de C & E;SVTEEHB (CLE);5 000
2de C & E;Physique, Chimie : L’EXCELLENCE EN PHYSIQUE-CHIMIE  (NMI);6 000
2de C & E;Informatique : L’EXCELLENCE EN INFORMATIQUE (NMI);3 100
2de C & E;HISTOIRE : le monde. De la préhistoire au moyen-âge (CLE);4 000
2de AC;Philosophie : L’Excellence en Philosophie (NMI);4 000
2de AC;Langue Française : Langue et Méthode au 2nd cycle  (Afric’Educ);5 000
2de AC;Les Tribus de Capitoline (CLE);3 000
2de AC;Poèmes sauvages éclairés au feu de brousse (les classiques iv);1700
2de AC;TARTUFFE (BELLES LETTRES);2 000
2de AC;Anglais: INTERACTIONS IN ENGLISH (CAMBRIDGE);5 000
2de AC;Education à la citoyenneté : EDUCATION A LA CITOYENNETE ET A LA MORALE (MONDOUX);3 000
2de AC;MATHEMATIQUES : L’EXCELLENCE EN MATHEMATIQUES (NMI);5 500
2de AC;SVTEEHB (CLE);5 000
2de AC;PHYSIQUE, CHIMIE : L’EXCELLENCE EN PHYSIQUE-CHIMIE (NMI);6 000
2de AC;Initiation aux Arts cinématographiques (Terre Africaine);5 000
2de AC;HISTOIRE : le monde. De la préhistoire au moyen-âge (CLE);4 000
1re A4 & SES (ALL);Langue Française : Langue et Méthode au 2nd cycle  (Afric’Educ);5 000
1re A4 & SES (ALL);AU CŒUR DES TENEBRES (ECLOSION);1 900
1re A4 & SES (ALL);Balafon (CLE);1 800
1re A4 & SES (ALL);LE LION ET LA PERLE(CLE);1 700
